prompts,responses
Ketoprak yg enak yg kayak apa?, Ketoprak Sunda
Gimana cara beli gado-gado?, Kamu harus ke pasar
Gimana cara bikin gado-gado?, dengan menggunakan bahan dasar yang berbeda
Gado-gado yg enak yg kayak apa?, Roti Goreng
Makanan khas Indo apa ya yang enak?, Nasi goreng
Minta saran oleh-oleh khas Indo dong?, Yes
Makanan khas Jakarta apa ya yang enak?, Bakpia
Minta saran oleh-oleh khas Jakarta dong?, Nasi goreng.
Makanan khas Bandung apa ya yang enak?, Mienya enak.
Minta saran oleh-oleh khas Bandung dong?, Rambut palsu
Apa bedanya pecel lele sama lele?, keduanya adalah lele
Apa bedanya pecel lele sama pecel?, kedua istilah tersebut merujuk pada hidangan yang terbuat dari kacang-kacangan yang digiling halus dengan bumbu-bumbu
Apa bedanya ketoprak dan gado-gado?, tidak ada
Apa bedanya ketoprak dan karedok?," Ketoprak lebih manis, dan karedok lebih kering"
Apa bedanya gado-gado dan karedok?, karedok itu ada di Bogor Jawa Barat
Akun Grab saya terblokir?, Anda mungkin pernah mengalami akun yang diblokir atau dinonaktifkan.
Kenapa Jakarta macet banget ya?, Karena banyak mobil
Gimana caranya jadi presiden?, Kita harus pilih kandidat yang pas.
Gimana caranya jadi gubernur?, Kamu harus menang pemilu
Gimana caranya jadi ketua RT?, Cari kandidat yang bisa mewakili
Kenapa ngga ada yang mau jadi ketua RT?, Saya pernah ketua RT
Apa sih bedanya RT dan RW?, itu soal pemekaran wilayah dan masalah administratif
Apaan itu kelurahan dan kecamatan?," kecamatan adalah daerah administratif, kelurahan adalah daerah administratif, tetapi kota, kabupaten, provinsi adalah daerah administratif,"
Minta review product Wardah dong?, Yes
Bisakah Anda jelaskan ulasan pelanggan yang negatif dan positif dari pelanggan yang telah membeli dan menggunakan Wardah untuk waktu yang cukup lama?, Negative
