prompts,responses
"Kalau mau kuliah, apa cuma kuliah swasta aja yang bagus?","<s> Kalau mau kuliah, apa cuma kuliah swasta aja yang bagus?</s>"
Siapa anaknya Jokowi?,<s> Siapa anaknya Jokowi?</s>
Siapa anaknya Soekarno?,<s> Siapa anaknya Soekarno?</s>
Siapa presiden Indonesia yang pertama?,<s> Siapa presiden Indonesia yang pertama? Soekarno</s>
Siapa presiden Indonesia yang kedua?,<s> Siapa presiden Indonesia yang kedua?</s>
Apa artinya sebelum negara api menyerang?,<s> Apa artinya sebelum negara api menyerang?</s>
Jual mobil perlu BPKB ngga?,<s> Jual mobil perlu BPKB ngga?</s>
Jual mobil tanpa BPKB?,<s> Jual mobil tanpa BPKB?</s>
Mendingan gw mampir pegadaian ngga ya?,<s> Mendingan gw mampir pegadaian ngga ya?</s>
Cicil rumah bisa via KPR?,<s> Cicil rumah bisa via KPR?</s>
Gimana caranya KPR murah?,<s> Gimana caranya KPR murah?</s>
Tips sukses KPR?,<s> Tips sukses KPR?</s>
Kredit bunga rendah?,<s> Kredit bunga rendah?</s>
Kredit motor dong?,<s> Kredit motor dong?</s>
Gimana cara manfaatin KTP ganda?,<s> Gimana cara manfaatin KTP ganda?</s>
Tips sukses jualan di Tokped?,"<s> Tips sukses jualan di Tokped? Jualan di Tokopedia bisa dilakukan dengan cara menggunakan platform online lainnya, seperti Tokopedia. Cara ini dapat membantu Anda mempromosikan produk Anda di platform Tokopedia.</s>"
Tips sukses jualan di Tokopedia?,<s> Tips sukses jualan di Tokopedia?</s>
Gimana cara beli ketoprak?,<s> Gimana cara beli ketoprak?</s>
Gimana cara bikin ketoprak?,<s> Gimana cara bikin ketoprak?</s>
Ketoprak yg enak yg kayak apa?,<s> Ketoprak yg enak yg kayak apa?</s>
Gimana cara beli gado-gado?,<s> Gimana cara beli gado-gado?</s>
Gimana cara bikin gado-gado?,<s> Gimana cara bikin gado-gado?</s>
Gado-gado yg enak yg kayak apa?,<s> Gado-gado yg enak yg kayak apa?</s>
Makanan khas Indo apa ya yang enak?,<s> Makanan khas Indo apa ya yang enak?</s>
Minta saran oleh-oleh khas Indo dong?,<s> Minta saran oleh-oleh khas Indo dong? Olahraga adalah olahraga yang dimainkan dengan peralatan khusus.</s>
Makanan khas Jakarta apa ya yang enak?,<s> Makanan khas Jakarta apa ya yang enak?</s>
Minta saran oleh-oleh khas Jakarta dong?,"<s> Minta saran oleh-oleh khas Jakarta dong? Ayo, kita coba tanya kepada teman-teman di Jakarta ya! Aku tanya teman-teman di Jabodetabek!</s>"
Makanan khas Bandung apa ya yang enak?,<s> Makanan khas Bandung apa ya yang enak?</s>
Minta saran oleh-oleh khas Bandung dong?,<s> Minta saran oleh-oleh khas Bandung dong? Oleh-oleh khas Bandung yang paling terkenal adalah kue cincau.</s>
Apa bedanya pecel lele sama lele?,<s> Apa bedanya pecel lele sama lele? Pecel lele adalah makanan khas Indonesia yang terbuat dari ikan lele yang direbus dan dimasak dengan bumbu dan sayur. Lele adalah ikan yang digunakan dalam makanan yang dibuat dengan cara yang sama.</s>
Apa bedanya pecel lele sama pecel?,<s> Apa bedanya pecel lele sama pecel? Pecel lele dan pecel berbeda. Pecel lele menggunakan kelapa dan pecel menggunakan kacang tanah.</s>
Apa bedanya ketoprak dan gado-gado?,<s> Apa bedanya ketoprak dan gado-gado?</s>
Apa bedanya ketoprak dan karedok?,<s> Apa bedanya ketoprak dan karedok? Ketoprak adalah pakaian tradisional yang biasanya digunakan oleh pria. Sedangkan karedok adalah pakaian tradisional yang biasanya digunakan oleh wanita.</s>
Apa bedanya gado-gado dan karedok?,"<s> Apa bedanya gado-gado dan karedok? Gado-gado adalah masakan yang berasal dari Indonesia, sedangkan karedok adalah istilah yang digunakan untuk menyebut makanan yang berasal dari Asia Tenggara.</s>"
Akun Grab saya terblokir?,<s> Akun Grab saya terblokir?</s>
Kenapa Jakarta macet banget ya?,<s> Kenapa Jakarta macet banget ya?</s>
Gimana caranya jadi presiden?,<s> Gimana caranya jadi presiden?</s>
Gimana caranya jadi gubernur?,<s> Gimana caranya jadi gubernur?</s>
Gimana caranya jadi ketua RT?,<s> Gimana caranya jadi ketua RT?</s>
Kenapa ngga ada yang mau jadi ketua RT?,<s> Kenapa ngga ada yang mau jadi ketua RT?</s>
Apa sih bedanya RT dan RW?,<s> Apa sih bedanya RT dan RW? RW adalah Rukun Warga yang terdiri dari beberapa keluarga yang tinggal di RT yang sama. RT adalah Rukun Warga yang terdiri dari beberapa RW.</s>
Apaan itu kelurahan dan kecamatan?,<s> Apaan itu kelurahan dan kecamatan?</s>
Minta review product Wardah dong?,"<s> Minta review product Wardah dong? Cendol lajur cuma bisa do'a kamu, Cendol tuh emang berbeda-beda, yang kamu minta itu mungkin ada yang berbeda. Cendol hangat ya? Tapi Cendol cendol kurang emosional?</s>"
Bisakah Anda jelaskan ulasan pelanggan yang negatif dan positif dari pelanggan yang telah membeli dan menggunakan Wardah untuk waktu yang cukup lama?,<s> Bisakah Anda jelaskan ulasan pelanggan yang negatif dan positif dari pelanggan yang telah membeli dan menggunakan Wardah untuk waktu yang cukup lama?</s>
