ending1,ending2,labels,startphrase
Dia bicara dengan lemah lembut.,Dia bicara dengan kasar.,1,Cara bicaranya bak preman di pasar.
Mahasiswa itu menjawab dengan gelagapan.,Mahasiswa itu menjawab dengan tenang.,0,"Saat ditanya, mahasiswa itu menjawab seperti orang yang ketahuan mencuri."
Mahasiswa itu menjawab dengan gelagapan.,Mahasiswa itu menjawab dengan tenang.,1,"Saat ditanya, mahasiswa itu menjawab seperti sudah mengantongi kunci jawaban di kepalanya."
Kamar kosnya berantakan.,Kamar kosnya rapi.,0,Kamar kosnya bagaikan rumah yang habis dimasuki pencuri.
Kamar kosnya berantakan.,Kamar kosnya rapi.,1,Kamar kosnya bagaikan rumah dengan selusin ART.
Rumahnya luas.,Rumahnya sempit.,0,Rumahnya seluas GBK.
Rumahnya luas.,Rumahnya sempit.,1,Rumahnya seluas jalan tikus.
Dia bisa dipercaya.,Dia tidak bisa dipercaya.,0,"Bagi dia, rahasia adalah pusaka keluarga."
Dia bisa dipercaya.,Dia tidak bisa dipercaya.,1,"Bagi dia, rahasia adalah berita yang siap dikeluarkan kapan saja."
Sikapnya hangat.,Sikapnya dingin.,0,Dia adalah sinar matahari yang menyelimuti bumi.
Sikapnya hangat.,Sikapnya dingin.,1,Dia adalah hujan di tengah malam.
Kereta itu lowong.,Kereta itu padat.,0,Kereta sore itu bagaikan bisa dipakai bermain sepak bola.
Kereta itu lowong.,Kereta itu padat.,1,Kereta sore itu bagaikan lautan yang dipenuhi ikan.
Tanggung jawabnya berat.,Tanggung jawabnya ringan.,0,Tanggung jawab Dian seringan menggendong satu keluarga besar.
Tanggung jawabnya berat.,Tanggung jawabnya ringan.,1,Tanggung jawab Dian seringan daun yang dihembus angin.
"Setelah ia datang, keadaan semakin buruk.","Setelah ia datang, keadaan semakin baik.",0,"Setelah ia datang, keadaan seperti pakaian yang dicuci dengan lumpur."
"Setelah ia datang, keadaan semakin buruk.","Setelah ia datang, keadaan semakin baik.",1,"Setelah ia datang, keadaan seperti pelangi yang muncul selepas hujan."
Sekolahnya jauh.,Sekolahnya dekat.,0,Jarak rumah ke sekolahnya sejauh menyebrangi samudra.
Sekolahnya jauh.,Sekolahnya dekat.,1,Jarak rumah ke sekolahnya sejauh rumah tetangga.
Badan murid SMP itu tinggi.,Badan murid SMP itu pendek.,0,Murid SMP itu setinggi tiang listrik.
Badan murid SMP itu tinggi.,Badan murid SMP itu pendek.,1,Murid SMP itu setinggi pohon taoge.
Dia beruntung.,Dia apes.,0,"Nasibnya bagai orang yang selamat dari tragedi mematikan,."
Dia beruntung.,Dia apes.,1,"Nasibnya bagai orang yang kena tipu,."
Dia melek teknologi.,Dia gaptek.,0,"Baginya, dunia digital adalah tempat bermain yang menyenangkan."
Dia melek teknologi.,Dia gaptek.,1,"Baginya, dunia digital adalah rumah hantu yang penuh jebakan."
Dia berpendirian teguh.,Dia tidak punya pendirian.,0,Pendiriannya bagai tak bisa digoyangkan angin.
Dia berpendirian teguh.,Dia tidak punya pendirian.,1,Pendiriannya bagai peraturan yang berubah-ubah.
Dia bersikap seenaknya.,Dia bersikap hati-hati.,0,Dia berlagak seperti cucu yang punya jalan.
Dia bersikap seenaknya.,Dia bersikap hati-hati.,1,Dia berlagak seperti anak ayam yang baru menetas.
Tekad mereka besar.,Tekad mereka kecil.,0,Mereka mengikuti lomba seolah siap memberikan seluruh darah dan keringat.
Tekad mereka besar.,Tekad mereka kecil.,1,Mereka mengikuti lomba seolah hanya untuk mengisi kuota.
"Bersamanya, waktu berlalu dengan cepat.","Bersamanya, waktu berlalu dengan lambat.",0,Mengobrol dengannya terasa seperti menghabiskan satu lagu.
"Bersamanya, waktu berlalu dengan cepat.","Bersamanya, waktu berlalu dengan lambat.",1,Mengobrol dengannya terasa seperti melakukan perjalanan ke bulan.
Tugas mahasiswa banyak.,Tugas mahasiswa sedikit.,0,Tugas mahasiswa bagaikan tumpukan baju yang belum disetrika.
Tugas mahasiswa banyak.,Tugas mahasiswa sedikit.,1,Tugas mahasiswa bagaikan bisa dihitung jari.
Bersosialisasi itu melelahkan.,Bersosialisasi itu menyenangkan.,0,"Baginya, bersosialisasi itu seperti menaiki ratusan anak tangga."
Bersosialisasi itu melelahkan.,Bersosialisasi itu menyenangkan.,1,"Baginya, bersosialisasi itu seperti melepas rindu dengan orang tersayang."
Bermain media sosial adalah kegiatan yang sia-sia.,Bermain media sosial adalah kegiatan yang bermanfaat.,0,Bermain media sosial bagai menjemur pakaian di waktu hujan.
Bermain media sosial adalah kegiatan yang sia-sia.,Bermain media sosial adalah kegiatan yang bermanfaat.,1,Bermain media sosial bagai mengikuti kuliah 1 SKS.
Adik sangat mandiri.,Adik sangat manja.,0,Adik berlaku bak akan mengurus pinjaman di bank.
Adik sangat mandiri.,Adik sangat manja.,1,Adik berlaku bak bayi yang merindukan ibunya.
Cuacanya cerah.,Cuacanya mendung.,0,Langitnya tampak seperti senyuman mahasiswa yang lulus sidang.
Cuacanya cerah.,Cuacanya mendung.,1,Langitnya tampak seperti wajah anak kecil yang kalah dalam permainan.
Rumahnya indah.,Rumahnya tak terurus.,0,Rumahnya tampak bagaikan istana megah.
Rumahnya indah.,Rumahnya tak terurus.,1,Rumahnya tampak bagaikan rumah tak berpenghuni.
Dia dan kakaknya sering bertengkar.,Dia dan kakaknya sangat dekat.,0,Hubungannya dengan sang kakak seperti anjing dan kucing.
Dia dan kakaknya sering bertengkar.,Dia dan kakaknya sangat dekat.,1,Hubungannya dengan sang kakak seperti lem dan perangko.
Nilai matematikanya jelek.,Nilai matematikanya bagus.,0,Nilai matematikanya setinggi mata kaki.
Nilai matematikanya jelek.,Nilai matematikanya bagus.,1,Nilai matematikanya setinggi langit.
Berangkat sekolah pagi itu bermanfaat.,Berangkat sekolah pagi itu berbahaya.,0,Berangkat sekolah ketika masih langit masih gelap ibarat menjemput rezeki.
Berangkat sekolah pagi itu bermanfaat.,Berangkat sekolah pagi itu berbahaya.,1,Berangkat sekolah ketika masih langit masih gelap ibarat melawan arus.
Kerja menjadi Polisi di Indonesia itu beresiko.,Kerja menjadi Polisi di Indonesia itu mudah.,0,"Seperti membangunkan macan tidur, kerja di institusi kepolisian Indonesia."
Kerja menjadi Polisi di Indonesia itu beresiko.,Kerja menjadi Polisi di Indonesia itu mudah.,1,"Seperti membelah bolu, kerja di institusi kepolisian Indonesia."
Muka yang bulat sempurna.,Muka yang bulat tidak sempurna.,0,Mukamu bentuknya sebulat matahari di siang hari.
Muka yang bulat sempurna.,Muka yang bulat tidak sempurna.,1,Mukamu bentuknya sebulat bulan yang penuh benjolan.
Bekerja di kantor tersebut seperti terasa serba lama.,Bekerja di kantor tersebut seperti terasa serba baru.,0,Layaknya pasangan paruh baya di perayaan peraknya perasaanku bekerja di kantor ini.
Bekerja di kantor tersebut seperti terasa serba lama.,Bekerja di kantor tersebut seperti terasa serba baru.,1,Layaknya pasangan yang tengah berbulan madu perasaanku bekerja di kantor ini.
Semangat yang keras.,Semangat yang lembek.,0,Semangatnya begitu keras bagaikan batu.
Semangat yang keras.,Semangat yang lembek.,1,Semangatnya begitu keras bagaikan tahu.
Di luar negeri dia selalu merindu tanah air.,Di luar negeri dia lupa dengan tanah airnya.,0,"Bagaikan anak merindukan ibunya, semenjak dia pindah ke negeri orang."
Di luar negeri dia selalu merindu tanah air.,Di luar negeri dia lupa dengan tanah airnya.,1,"Bagaikan kacang lupa kulitnya, semenjak dia pindah ke negeri orang."
Hidup di perantauan itu penuh kebahagiaan.,Hidup di perantauan itu penuh kesedihan.,0,Hidupnya di perantauan seterang bulan purnama.
Hidup di perantauan itu penuh kebahagiaan.,Hidup di perantauan itu penuh kesedihan.,1,Hidupnya di perantauan seterang bulan gerhana.
Cat rumah putih sekali.,Cat rumah hitam sekali.,0,Cat rumahnya seputih salju.
Cat rumah putih sekali.,Cat rumah hitam sekali.,1,Cat rumahnya seputih arang.
Kehidupannya mewah sekali.,Kehidupannya kumuh sekali.,0,"Menurut mereka, aku hidup seperti putri."
Kehidupannya mewah sekali.,Kehidupannya kumuh sekali.,1,"Menurut mereka, aku hidup seperti inang."
Barisannya beraturan.,Barisannya tidak beraturan.,0,Anak-anak berderet bak bebek berbaris.
Barisannya beraturan.,Barisannya tidak beraturan.,1,Anak-anak berderet bak ayam berjalan.
Bangunannya kokoh.,Bangunannya tidak kokoh.,0,Bangunan lama tersebut berdiri bak pohon beringin.
Bangunannya kokoh.,Bangunannya tidak kokoh.,1,Bangunan lama tersebut berdiri bak nyiur di tepi pantai.
Kulit RIka lembut.,Kulit RIka kasar.,0,"Dengan perawatan mahal, kulit Rika selembut sutra."
Kulit RIka lembut.,Kulit RIka kasar.,1,"Dengan perawatan mahal, kulit Rika selembut pasir."
Suara Lesti merdu.,Suara Lesti serak.,0,Suara Lesti sekarang seperti merdunya hujan.
Suara Lesti merdu.,Suara Lesti serak.,1,Suara Lesti sekarang seperti serak-serak kepalang basah.
Jakarta ramai.,Jakarta sepi.,0,"Lebaran kali ini, Jakarta seramai Masjid Nabawi."
Jakarta ramai.,Jakarta sepi.,1,"Lebaran kali ini, Jakarta seramai masjid di pelosok desa."
Kota tersebut penuh cahaya.,Kota tersebut tidak terlihat cahayanya.,0,Cahaya lampu kota ini apabila malam seperti ratusan bintang di permukaan bumi.
Kota tersebut penuh cahaya.,Kota tersebut tidak terlihat cahayanya.,1,Cahaya lampu kota ini apabila malam seperti kunang-kunang di siang hari.
"Setelah ayah menikah lagi, kehidupan semakin buruk.","Setelah ayah menikah lagi, kehidupan sangat indah.",0,"Ibarat tinggal di neraka, semenjak ayah menikah lagi."
"Setelah ayah menikah lagi, kehidupan semakin buruk.","Setelah ayah menikah lagi, kehidupan sangat indah.",1,"Ibarat tinggal di surga, semenjak ayah menikah lagi."
Guru Dita sangat sabar.,Guru Dita tidak sabaran.,0,Guru Dita kesabarannya seluas samudra.
Guru Dita sangat sabar.,Guru Dita tidak sabaran.,1,Guru Dita kesabarannya seluas empang.
Larinya cepat.,Larinya lambat.,0,Larinya secepat cheetah.
Larinya cepat.,Larinya lambat.,1,Larinya secepat kura-kura.
Ucapan yang menyakitkan.,Ucapan yang menyenangkan.,0,"Mendengar ucapannya, aku merasa seperti ditusuk belati."
Ucapan yang menyakitkan.,Ucapan yang menyenangkan.,1,"Mendengar ucapannya, aku merasa seperti dibelai kekasih."
Sepatunya harum.,Sepatunya bau.,0,Sepatuku harum seperi ladang bunga.
Sepatunya harum.,Sepatunya bau.,1,Sepatuku harum seperi tong sampah.
Pencuri yang cerdik.,Pencuri yang bodoh.,0,Pencuri yang kecerdasannya laksana kancil.
Pencuri yang cerdik.,Pencuri yang bodoh.,1,Pencuri yang kecerdasannya laksana keledai.
Pernikahan yang romantis.,Pernikahan yang penuh pertengkaran.,0,Pernikahan mereka layaknya Popeye & Olive.
Pernikahan yang romantis.,Pernikahan yang penuh pertengkaran.,1,Pernikahan mereka layaknya Popeye & Bluto.
Hidupnya bebas.,Hidupnya tidak bebas.,0,"Sejak menikah, hidupnya bagaikan burung yang terbang bebas."
Hidupnya bebas.,Hidupnya tidak bebas.,1,"Sejak menikah, hidupnya bagaikan burung dalam kerangkeng."
Wajah adik kakak yang sangat berbeda.,Wajah adik kakak yang sangat mirip.,0,Wajahku dan adikku ibarat bumi & langit.
Wajah adik kakak yang sangat berbeda.,Wajah adik kakak yang sangat mirip.,1,Wajahku dan adikku ibarat pinang di belah dua.
Kecepatan mobil itu cepat.,Kecepatan mobil itu lambat.,0,Kecepatan mobil elektrik buatan Indonesia sudah seperti kecepatan jet.
Kecepatan mobil itu cepat.,Kecepatan mobil itu lambat.,1,Kecepatan mobil elektrik buatan Indonesia sudah seperti kecepatan delman.
Suara ngoroknya merdu.,Suara ngoroknya berisik.,0,Pemenang lomba menyanyi kalau tidur ngoroknya seperti nyanyian angin.
Suara ngoroknya merdu.,Suara ngoroknya berisik.,1,Pemenang lomba menyanyi kalau tidur ngoroknya seperti suara knalpot.
Tindakan yang penuh gelisah.,Tindakan yang terlalu santai.,0,Jangan bertindak seperti cacing kepanasan.
Tindakan yang penuh gelisah.,Tindakan yang terlalu santai.,1,Jangan bertindak seperti orang berpelesir.
Bisnisnya bangkrut.,Bisnisnya sukses.,0,Bisnis orang tuanya ibarat bisnis yang gulung tikar.
Bisnisnya bangkrut.,Bisnisnya sukses.,1,Bisnis orang tuanya ibarat bisnis yang menuju puncak.
Temannya bertingkah layaknya orang kaya.,Temannya bertingkah layaknya orang miskin.,0,Temanku tingkahnya serasa dirinya berdarah bangsawan.
Temannya bertingkah layaknya orang kaya.,Temannya bertingkah layaknya orang miskin.,1,Temanku tingkahnya serasa dirinya pemilik dapur tidak berasap.
Masuk ke perusahaan yang berbahaya.,Masuk ke perusahaan yang membuat aman& nyaman.,0,Masuk ke perusahaan ini ibarat masuk mulut buaya.
Masuk ke perusahaan yang berbahaya.,Masuk ke perusahaan yang membuat aman& nyaman.,1,Masuk ke perusahaan ini ibarat masuk rumah sendiri.
Harga pakaian sangat murah.,Harga pakaian sangat mahal.,0,Harga pakaian di Pasar Cigasong sekarang bagai membeli kacang goreng.
Harga pakaian sangat murah.,Harga pakaian sangat mahal.,1,Harga pakaian di Pasar Cigasong sekarang bagai membeli pesawat pribadi.
Omongan tetangga yang menyakitkan.,Omongan tetangga yang manis didengar.,0,Omongan tetangga Rina seakan lidah tak bertulang.
Omongan tetangga yang menyakitkan.,Omongan tetangga yang manis didengar.,1,Omongan tetangga Rina seakan  mulut berbau madu.
Rezeki yang datangnya sedikit.,Rezeki yang datangnya banyak.,0,Rezeki datang tak terduga seperti air surut.
Rezeki yang datangnya sedikit.,Rezeki yang datangnya banyak.,1,Rezeki datang tak terduga seperti air pasang.
Politisi yang jago dan berpengalaman.,Politisi yang belum berpengalaman.,0,Politisi pilihan ayahku macam pemain handal.
Politisi yang jago dan berpengalaman.,Politisi yang belum berpengalaman.,1,Politisi pilihan ayahku macam anak kemarin sore.
Tugas Python yang tidak menyenangkan.,Tugas Python yang menyenangkan.,0,Mengerjakan tugas Python itu ibarat bertempur di medan perang.
Tugas Python yang tidak menyenangkan.,Tugas Python yang menyenangkan.,1,Mengerjakan tugas Python itu ibarat menari diiringi musik.
Laptop sejuta umat.,Laptop langka.,0,Laptop yang dibelikan suaminya sepopuler Avanza di Indonesia.
Laptop sejuta umat.,Laptop langka.,1,Laptop yang dibelikan suaminya sepopuler mobil antik keluaran 70an.
Rumah yang besar.,Rumah yang kecil.,0,Semoga rumahmu nanti sebesar kastil.
Rumah yang besar.,Rumah yang kecil.,1,Semoga rumahmu nanti sebesar kotak sepatu.
Makanannya mahal.,Makanannya murah.,0,Harga makanan yang dibeli pacarku bagaikan dibuat oleh chef bintang lima.
Makanannya mahal.,Makanannya murah.,1,Harga makanan yang dibeli pacarku bagaikan dibuat oleh  chef kaki lima.
Investasi Bitcoin menguntungkan.,Investasi Bitcoin merugikan.,0,Investasi Bitcoin sekarang ini ibarat deposito berbunga tinggi.
Investasi Bitcoin menguntungkan.,Investasi Bitcoin merugikan.,1,Investasi Bitcoin sekarang ini ibarat membayar KPR dengan bunga tinggi.
Karir yang diam ditempat.,Karir yang bergerak mengikuti arus yang seharusnya.,0,"Seperti air menenang, karirku sekarang."
Karir yang diam ditempat.,Karir yang bergerak mengikuti arus yang seharusnya.,1,"Seperti air mengalir, karirku sekarang."
Cuacanya panas.,Cuacanya dingin.,0,Cuaca hari ini seperti panasnya neraka.
Cuacanya panas.,Cuacanya dingin.,1,Cuaca hari ini seperti dinginnya Kutub Utara.
Kuenya enak dimakan.,Kuenya tidak enak dimakan.,0,Kue buatan temanku rasanya seperti makan mangga ketika musimnya.
Kuenya enak dimakan.,Kuenya tidak enak dimakan.,1,Kue buatan temanku rasanya seperti makan jarum ketika sariawan.
Timbangan badanku turun.,Timbangan badanku naik.,0,Timbangan badanku macam bergerak ke kiri.
Timbangan badanku turun.,Timbangan badanku naik.,1,Timbangan badanku macam bergerak ke kanan.
Badannya bau.,Badannya harum.,0,Bau badannya sudah seperti bau duren.
Badannya bau.,Badannya harum.,1,Bau badannya sudah seperti bau bunga.
Hari-harinya sibuk.,Hari-harinya tidak sibuk.,0,"Walau masih mahasiswa, tapi hari-harinya macam karyawan lembur."
Hari-harinya sibuk.,Hari-harinya tidak sibuk.,1,"Walau masih mahasiswa, tapi hari-harinya macam karyawan kena phk."
Ucapannya penuh gombalan.,Ucapannya penuh nasihat.,0,"Setiap lelaki itu bersuara, ucapannya bagaikan buaya darat."
Ucapannya penuh gombalan.,Ucapannya penuh nasihat.,1,"Setiap lelaki itu bersuara, ucapannya bagaikan guru ngaji dengan muridnya."
Bebah hidup Dani ringan.,Bebah hidup Dani berat.,0,"Seberat kapas, begitulah beban hidup Dani."
Bebah hidup Dani ringan.,Bebah hidup Dani berat.,1,"Seberat ikan paus, begitulah beban hidup Dani."
Nasihat ibu terkadang enak didengar.,Nasihat ibu terkadang tidak enak didengar.,0,Nasihat ibu terkadang semanis permen.
Nasihat ibu terkadang enak didengar.,Nasihat ibu terkadang tidak enak didengar.,1,Nasihat ibu terkadang semanis jamu.
Bukunya banyak sekali.,Bukunya nyaris tidak ada.,0,Buku koleksi adikku sebanyak pasir di pantai.
Bukunya banyak sekali.,Bukunya nyaris tidak ada.,1,Buku koleksi adikku sebanyak bunga di musim gugur.
Sinta dan Mayang sangat mirip.,Sinta dan Mayang sangat berbeda.,0,Sinta dan Mayang itu bagai pinang dibelah dua.
Sinta dan Mayang sangat mirip.,Sinta dan Mayang sangat berbeda.,1,Sinta dan Mayang itu bagai langit dan bumi.
Diam itu membawa dampak positif.,Diam itu membawa dampak negatif.,0,Diam itu emas.
Diam itu membawa dampak positif.,Diam itu membawa dampak negatif.,1,Diam itu sampah.
Aku tidak berharga bagi atasan.,Aku berharga bagi atasan.,0,Aku seperti umbi-umbian di mata atasan.
Aku tidak berharga bagi atasan.,Aku berharga bagi atasan.,1,Aku seperti anak emas di mata atasan.
Wilayah Pasundan amat indah.,Wilayah Pasundan amat jelek.,0,Tanah Pasundan diciptakan seakan Tuhan sedang tersenyum.
Wilayah Pasundan amat indah.,Wilayah Pasundan amat jelek.,1,Tanah Pasundan diciptakan seakan Tuhan sedang marah.
Kedelai itu dirawat petani dengan sungguh-sungguh.,Kedelai itu dirawat petani dengan serampangan.,0,Kedelai itu dirawat petani layaknya anak sendiri.
Kedelai itu dirawat petani dengan sungguh-sungguh.,Kedelai itu dirawat petani dengan serampangan.,1,Kedelai itu dirawat petani layaknya anak tiri.
Ibu merawat anaknya dengan kasih sayang.,Ibu merawat anaknya dengan ogah-ogahan.,0,Ibu membesarkan anaknya dengan sepenuh hati.
Ibu merawat anaknya dengan kasih sayang.,Ibu merawat anaknya dengan ogah-ogahan.,1,Ibu membesarkan anaknya dengan setengah hati.
Guru memberi materi sebanyak-banyaknya.,Guru memberi materi secukupnya.,0,Guru memberikan materi seolah tidak ada hari esok.
Guru memberi materi sebanyak-banyaknya.,Guru memberi materi secukupnya.,1,Guru memberikan materi seolah masih ada hari esok.
Cuaca hari ini sangat panas.,Cuaca hari ini sangat dingin.,0,Hari ini cuacanya seperti berada di Padang Mahsyar.
Cuaca hari ini sangat panas.,Cuaca hari ini sangat dingin.,1,Hari ini cuacanya seperti berada di di puncak gunung Bromo.
Youtuber itu makan nasi padang dengan porsi sedikit.,Youtuber itu makan nasi padang dengan porsi sangat banyak.,0,Youtuber itu makan nasi padang seolah perutnya sudah penuh.
Youtuber itu makan nasi padang dengan porsi sedikit.,Youtuber itu makan nasi padang dengan porsi sangat banyak.,1,Youtuber itu makan nasi padang seolah perutnya masih bisa memelar seperti karet.
Bulu harimau itu sangat indah.,Bulu harimau itu sangat buruk.,0,Harimau itu memiliki bulu bagai lukisan abstrak yang estetik.
Bulu harimau itu sangat indah.,Bulu harimau itu sangat buruk.,1,Harimau itu memiliki bulu bagai lukisan anak TK yang belum bisa menggambar.
Resesi 2023 menyeramkan.,Resesi 2023 sepele.,0,Resesi 2023 seperti petani yang mengalami gagal panen.
Resesi 2023 menyeramkan.,Resesi 2023 sepele.,1,Resesi 2023 seperti anak SD yang kehilangan sebiji permen.
Nyanyian Geisha memukau bagi penonton.,Nyanyian Geisha menjijikkan bagi penonton.,0,"Ketika Geisha menyanyi, dia seolah membius semua penonton."
Nyanyian Geisha memukau bagi penonton.,Nyanyian Geisha menjijikkan bagi penonton.,1,"Ketika Geisha menyanyi, dia seolah menghantui semua penonton."
Banyak destinasi wisata di Indonesia yang masih alami.,Banyak destinasi wisata di Indonesia yang sudah terekspos.,0,Indonesia memiliki banyak destinasi wisata yang masih perawan.
Banyak destinasi wisata di Indonesia yang masih alami.,Banyak destinasi wisata di Indonesia yang sudah terekspos.,1,Indonesia memiliki banyak destinasi wisata yang sudah terjamah.
Rambutnya bergelombang indah.,Rambutnya kaku takterawat.,0,Rambutnya bagai ombak samudra yang berkilau tertimpa sinar rembulan di malam hari.
Rambutnya bergelombang indah.,Rambutnya kaku takterawat.,1,Rambutnya bagai sapu ijuk.
"Bagi Nouval, harta adalah sumber kebahagiaan.","Bagi Nouval, harta adalah sumber kesengsaraan.",0,"Bagi Nouval, banyaknya harta adalah alasan yang merekahkan bibirnya dengan kebahagiaan. ."
"Bagi Nouval, harta adalah sumber kebahagiaan.","Bagi Nouval, harta adalah sumber kesengsaraan.",1,"Bagi Nouval, banyaknya harta adalah cobaan yang memuakkan. ."
Anak laki-laki dalam adat Jawa dinilai sangat berharga.,Anak laki-laki dalam adat Jawa dinilai tidak berharga.,0,Anak laki-laki dalam adat Jawa adalah pusaka yang sangat dipuja.
