ending1,ending2,startphrase,labels
Kartolo kuwi wani,Kartolo kuwi weden,Nyawang dedege Kartolo kok kaya dhadang ora godak,1
Kahanan omahe Pak Sardi kang lagi susah,Kahanan omahe Pak Sardi kang lagi seneng,Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan tangis,0
Kahanan omahe Pak Sardi kang lagi susah,Kahanan omahe Pak Sardi kang lagi seneng,Kahanan omahe Pak Sardi sing lagi wae oleh bantuwan kaya udan dhuwit,1
Nek gawe wedang kopi Painem legi,Nek gawe wedang kopi Painem pahit,Nek gawe wedang kopi Painem kaya disoki juruh,0
Nek gawe wedang kopi Painem legi,Nek gawe wedang kopi Painem pahit,Nek gawe wedang kopi Painem kaya disoki suruh,1
Baguse Paijo katulung irunge sing mancung,Baguse Paijo katulung irunge sing pesek,Baguse Paijo katulung saka irunge sing kaya irunge petruk,0
Baguse Paijo katulung irunge sing mancung,Baguse Paijo katulung irunge sing pesek,Baguse Paijo katulung saka irunge sing kaya irunge semar,1
Pak Hasan ora gelem menehi sumbangan pancen sipate iku medhit,Pak Hasan ora gelem menehi sumbangan pancen sipate iku loman,Pak Hasan ora gelem menehi sumbangan pancen sipate iku kaya cina craki,0
Pak Hasan ora gelem menehi sumbangan pancen sipate iku medhit,Pak Hasan ora gelem menehi sumbangan pancen sipate iku loman,Pak Hasan ora gelem menehi sumbangan pancen sipate iku kaya blaba uda,1
Anggone nyambut gawe Allia Cepet banget,Anggone nyambut gawe Allia alon banget,Anggone nyambut gawe Allia kaya banteng ketaton,0
Anggone nyambut gawe Allia Cepet banget,Anggone nyambut gawe Allia alon banget,Anggone nyambut gawe Allia kaya macan luwe,1
Nalika sesrawungan Pak Jemani lan Paiman ora bisa akur,Nalika sesrawungan Pak Jemani lan Paiman akur banget,Nalika sesrawungan Pak Jemani lan Paiman kaya banyu karo lenga,0
Nalika sesrawungan Pak Jemani lan Paiman ora bisa akur,Nalika sesrawungan Pak Jemani lan Paiman akur banget,Nalika sesrawungan Pak Jemani lan Paiman kaya mimi lan mituna,1
Tulisane Sarti jumejer ana papan tulis apik banget,Tulisane Sarti jumejer ana papan tulis elek banget,Tulisane Sarti jumejer ana papan tulis kaya awangun ketumbar,0
Tulisane Sarti jumejer ana papan tulis apik banget,Tulisane Sarti jumejer ana papan tulis elek banget,Tulisane Sarti jumejer ana papan tulis kaya cekere pitik,1
Rambute Selfi wiwit cilik pancen lurus,Rambute Selfi wiwit cilik pancen kriting,Rambute Selfi wiwit cilik pancen kaya brintik linggis,0
Rambute Selfi wiwit cilik pancen lurus,Rambute Selfi wiwit cilik pancen kriting,Rambute Selfi wiwit cilik pancen kaya kembang jagung,1
Kain batik sing dituku menyang pasar klewer tipis banget,Kain batik sing dituku menyang pasar klewer kandel banget,Kain batik sing dituku nalika menyang pasar Klewer iku kandele kaya kulit bawang,0
Kain batik sing dituku menyang pasar klewer tipis banget,Kain batik sing dituku menyang pasar klewer kandel banget,Kain batik sing dituku nalika menyang pasar Klewer iku kandele kaya kulit babat,1
Isih esuk khanane mbak Marmi Katon mrengut,Isih esuk khanane mbak Marmi Katon sumeh,Isih esuk kahanane Mbak Marmi kaya Ulat peteng,0
Isih esuk khanane mbak Marmi Katon mrengut,Isih esuk khanane mbak Marmi Katon sumeh,Isih esuk kahanane Mbak Marmi kaya ulat manis,1
Roti donat lek nggawe Narti empuk banget,Roti donat lek nggawe Narti atos banget,Roti donat lek nggawe Narti kaya atose debog,0
Roti donat lek nggawe Narti empuk banget,Roti donat lek nggawe Narti atos banget,Roti donat lek nggawe Narti kaya lemese pikulan,1
Omahe sing di bangun amba banget,Omahe sing di bangun ciwut,Omahe sing dibangun ambane kaya pagupon dara,0
Omahe sing di bangun amba banget,Omahe sing di bangun ciwut,Omahe sing dibangun ambane kaya leng semut,1
"Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale kendel","Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale weden","Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale kaya mental wesi",0
"Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale kendel","Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale weden","Nalika tumut lomba Bujangganong solahe Radit luwes , amarga wiwit kelas siji mentale kaya mental tempe",1
Sawise mulih saka griya sakit pasuryane Siti pucet banget,Sawise mulih saka griya sakit pasuryane Siti cerah banget,Sawise mulih saka griya sakit pasuryane Siti isih kaya abang dluwang,0
Sawise mulih saka griya sakit pasuryane Siti pucet banget,Sawise mulih saka griya sakit pasuryane Siti cerah banget,Sawise mulih saka griya sakit pasuryane Siti isih kaya abang godhong katirah,1
Lungane Pakdhe menyang Surabaya cepet banget,Lungane Pakdhe menyang Surabaya suwi banget,Lungane Pakdhe menyang Surabaya enggale suwe kaya banyu sinaring,0
Lungane Pakdhe menyang Surabaya cepet banget,Lungane Pakdhe menyang Surabaya suwi banget,Lungane Pakdhe menyang Surabaya enggale suwe kaya madu sinaring,1
Rasane pelem kecut,Rasane pelem legi,Rasane pelem kaya asem jawa,0
Rasane pelem kecut,Rasane pelem legi,Rasane pelem kaya gula jawa,1
Swarane sing nembang apik banget,Swarane sing nembang elek banget,Swarane sing nembang kaya kutut manggung,0
Swarane sing nembang apik banget,Swarane sing nembang elek banget,Swarane sing nembang kaya knalpot bolong,1
Bathuke Ica Rata,Bathuke Ica amba banget,Bathuke Icha nyela cendhani,0
Bathuke Ica Rata,Bathuke Ica amba banget,Bathuke Icha nonong,1
Yen nyawang mripate Sari blalak-blalak,Yen nyawang mripate Sari sipit,Yen nyawang mripate Sari kaya ndamar kanginan,0
Yen nyawang mripate Sari blalak-blalak,Yen nyawang mripate Sari sipit,Yen nyawang mripate Sari kaya liyep lindri,1
Banyune kolam renang bening,Banyune kolam renang buthek,Banyune kolam renang kaya banyu leri,0
Banyune kolam renang bening,Banyune kolam renang buthek,Banyune kolam renang kaya banyu aki,1
Anggone mlaku bis mini klular klulur,Anggone mlaku bis mini trengginas,Anggone mlaku bis mini kaya tuma kathok,0
Anggone mlaku bis mini klular klulur,Anggone mlaku bis mini trengginas,Anggone mlaku bis mini kaya sikatan nyamber lawang,1
Lemah sing disumbangake kanggo lapangan desa ciyut banget,Lemah sing disumbangake kanggo lapangan desa amba banget,Lemah sing disumbangake kanggo lapangan desa ambane kaya amba godhong kelor,0
Lemah sing disumbangake kanggo lapangan desa ciyut banget,Lemah sing disumbangake kanggo lapangan desa amba banget,Lemah sing disumbangake kanggo lapangan desa ambane kaya amba godhong tales,1
Awake Surya nalika isih sekolah mbiyen lemu banget,Awake Surya nalika isih sekolah mbiyen kuru banget,Awake Surya nalika isih sekolah mbiyen kaya kuru semangka,0
Awake Surya nalika isih sekolah mbiyen lemu banget,Awake Surya nalika isih sekolah mbiyen kuru banget,Awake Surya nalika isih sekolah mbiyen kaya lemu kurma,1
Yen lungguh ana ngarep dhewe patrape anteng banget,Yen lungguh ana ngarep dhewe patrape pecicilan,Yen lungguh ana nggarep dhewe patrape kaya Dewi Sembadra,0
Yen lungguh ana ngarep dhewe patrape anteng banget,Yen lungguh ana ngarep dhewe patrape pecicilan,Yen lungguh ana nggarep dhewe patrape kaya Buta Cakil,1
Pratandha arep udan amarga mendhunge peteng banget,Pratandha arep udan amarga mendhunge padhang jingglang,Pratandha arep udan amarga medhunge kaya ndumuk irung,0
Pratandha arep udan amarga mendhunge peteng banget,Pratandha arep udan amarga mendhunge padhang jingglang,Pratandha arep udan amarga medhunge kaya nyumet dimar,1
Regane lombok abang larang,Regane lombok abang murah,Regane lombok abang sundhul langit,0
Regane lombok abang larang,Regane lombok abang murah,Regane lombok abang kembang gogrog,1
Pondhasine omah gampang rubuh,Pondhasine omah kuwat jejeg,Pondhasine omah kaya wit tela,0
Pondhasine omah gampang rubuh,Pondhasine omah kuwat jejeg,Pondhasine omah kaya ting listrik,1
Rambute polisi kae gundhul,Rambute polisi kae kethel,Rambute polisi kae kaya bathok klapa,0
Rambute polisi kae gundhul,Rambute polisi kae kethel,Rambute polisi kae kaya ulu kucing,1
"Nalika dina Minggu, yen bisa nindakake pakaryan sing ana mupangate","Nalika dina Minggu, yen bisa nindakake pakaryan sing sia-sia ora ana mupangate","Nalika dina Minggu, yen bisa nindakake pakaryan ngajari manuk beo nyanyi",0
"Nalika dina Minggu, yen bisa nindakake pakaryan sing ana mupangate","Nalika dina Minggu, yen bisa nindakake pakaryan sing sia-sia ora ana mupangate","Nalika dina Minggu, yen bisa nindakake pakaryan bebek nglangi",1
Uripku karo uripe bedo banget kaya perbandingan langit,Uripku karo uripe bedo banget bumi,Uripku karo uripe wis kaya langit,0
Uripku karo uripe bedo banget kaya perbandingan langit,Uripku karo uripe bedo banget bumi,Uripku karo uripe wis kaya bumi,1
Obahe cepet banget,Obahe lambat banget,Obahe wis kaya welut,0
Obahe cepet banget,Obahe lambat banget,Obahe wis kaya siput,1
Kutho iki hawane adem banget,Kutho iki hawane panas banget,Kutho iki hawane kaya kutub,0
Kutho iki hawane adem banget,Kutho iki hawane panas banget,Kutho iki hawane kaya gurun,1
Urip nang kutho gedhe iku kaya urip ning panggon sing nyaman,Urip nang kutho gedhe iku kaya urip ning panggon sing sumpek,Urip nang kutho gedhe iku kaya urip nang suarga,0
Urip nang kutho gedhe iku kaya urip ning panggon sing nyaman,Urip nang kutho gedhe iku kaya urip ning panggon sing sumpek,Urip nang kutho gedhe iku kaya urip nang neraka,1
"Wes suwi ngerantau, wong iku tambah rendah hati","Wes suwi ngerantau, wong iku tambah besar kepala","Wis suwi ngerantau, rasane wong iku tambah andhap asor",0
"Wes suwi ngerantau, wong iku tambah rendah hati","Wes suwi ngerantau, wong iku tambah besar kepala","Wis suwi ngerantau, rasane wong iku tambah gumedhe",1
Mahasiswa iku nduweni julukan wong sing bodho,Mahasiswa iku nduweni julukan wong sing pinter,Mahasiswa iku nduweni julukan otak udang,0
Mahasiswa iku nduweni julukan wong sing bodho,Mahasiswa iku nduweni julukan wong sing pinter,Mahasiswa iku nduweni julukan otak encer,1
Omah iku apik banget,Omah iku elek banget,Omah iku kaya istana,0
Omah iku apik banget,Omah iku elek banget,Omah iku kaya gedheg,1
"Wes ngerti entuk biji elek, Abdi tetep sombong","Wes ngerti entuk biji elek, Abdi tetep rendah diri","Wis ngerti entuk biji elek, Abdi tetep gedhe ati",0
"Wes ngerti entuk biji elek, Abdi tetep sombong","Wes ngerti entuk biji elek, Abdi tetep rendah diri","Wis ngerti entuk biji elek, Abdi tetep cilik ati",1
Awan iku bentukane kaya resik banget,Awan iku bentukane kaya reged banget,Awan iku bentukane kaya wedhus gembel,0
Awan iku bentukane kaya resik banget,Awan iku bentukane kaya reged banget,Awan iku bentukane kaya wedhus putih,1
Persidangan nang film kuwi rasane kaya ora adil,Persidangan nang film kuwi rasane kaya adil,Persidangan nang film kuwi rasane kaya gedhe sisih,0
Persidangan nang film kuwi rasane kaya ora adil,Persidangan nang film kuwi rasane kaya adil,Persidangan nang film kuwi rasane kaya gedhe padha,1
Wong iku mangane kaya wong luwe,Wong iku mangane kaya wong wareg,Wong iku mangane kaya durung mangan 3 dino,0
Wong iku mangane kaya wong luwe,Wong iku mangane kaya wong wareg,Wong iku mangane kaya wong wis wareg,1
Aldo yen nggarap tugas cepet banget,Aldo yen nggarap tugas lambat banget,Aldo yen nggarap tugas kaya mesin,0
Aldo yen nggarap tugas cepet banget,Aldo yen nggarap tugas lambat banget,Aldo yen nggarap tugas kaya siput,1
Prajurit nang film iku ngelakoni perang wani banget,Prajurit nang film iku ngelakoni perang wedi banget,Prajurit nang film iku ngelakoni perang wis kaya singa,0
Prajurit nang film iku ngelakoni perang wani banget,Prajurit nang film iku ngelakoni perang wedi banget,Prajurit nang film iku ngelakoni perang wis kaya kura,1
"Wis suwi kerja nang negara liya, wong iku nduweni watak keras banget","Wis suwi kerja nang negara liya, wong iku nduweni watak lembek","Wis suwi kerja nang negara liya, wong iku nduweni watak kaya watu",0
"Wis suwi kerja nang negara liya, wong iku nduweni watak keras banget","Wis suwi kerja nang negara liya, wong iku nduweni watak lembek","Wis suwi kerja nang negara liya, wong iku nduweni watak kaya tahu",1
"Didelok saka kelakuane, anake Pak Budi iku lemah lembut","Didelok saka kelakuane, anake Pak Budi iku kasar","Didelok saka kelakuane, anake Pak Budi iku kaya putri solo",0
"Didelok saka kelakuane, anake Pak Budi iku lemah lembut","Didelok saka kelakuane, anake Pak Budi iku kasar","Didelok saka kelakuane, anake Pak Budi iku kaya preman",1
Pernikahane pasangan iku kaya akur banget,Pernikahane pasangan iku kaya ora akur,Pernikahane pasangan iku kaya Romeo lan Juliet,0
Pernikahane pasangan iku kaya akur banget,Pernikahane pasangan iku kaya ora akur,Pernikahane pasangan iku kaya asu lan kucing,1
Pak Sutrisno iku tansaya dhuwur pendidikane tambah rendah hati seperti padi,Pak Sutrisno iku tansaya dhuwur pendidikane tambah sombong seperti tong kosong,Pak Sutrisno iku tansaya dhuwur pendidikane tambah kaya pari,0
Pak Sutrisno iku tansaya dhuwur pendidikane tambah rendah hati seperti padi,Pak Sutrisno iku tansaya dhuwur pendidikane tambah sombong seperti tong kosong,Pak Sutrisno iku tansaya dhuwur pendidikane tambah kaya tong kosong,1
Adhiku yen ngomong kaya kasar banget,Adhiku yen ngomong kaya lemah lembut,Adhiku yen ngomong kaya Werkudara,0
Adhiku yen ngomong kaya kasar banget,Adhiku yen ngomong kaya lemah lembut,Adhiku yen ngomong kaya Puntadewa,1
Kesabarane ibu nang anak-anake jembar banget,Kesabarane ibu nang anak-anake sempit banget,Kesabarane ibu nang anak-anake kaya samudra,0
Kesabarane ibu nang anak-anake jembar banget,Kesabarane ibu nang anak-anake sempit banget,Kesabarane ibu nang anak-anake kaya godhong kelor,1
"Yen lara, awake dewe wis kaya panas banget","Yen lara, awake dewe wis kaya adem banget","Yen lara, awake dewe wis kaya inti bumi",0
"Yen lara, awake dewe wis kaya panas banget","Yen lara, awake dewe wis kaya adem banget","Yen lara, awake dewe wis kaya kutub",1
Wajahe mbak e iku cerah,Wajahe mbak e iku murung,Wajahe mbak e iku kaya srengenge,0
Wajahe mbak e iku cerah,Wajahe mbak e iku murung,Wajahe mbak e iku kaya mendung,1
Kulite cah kuwi putih,Kulite cah kuwi ireng,Kulite cah kuwi kaya salju,0
Kulite cah kuwi putih,Kulite cah kuwi ireng,Kulite cah kuwi kaya areng,1
Lapangan iku bentukane kaya ombo banget,Lapangan iku bentukane kaya sempit,Lapangan iku bentukane kaya segara,0
Lapangan iku bentukane kaya ombo banget,Lapangan iku bentukane kaya sempit,Lapangan iku bentukane kaya kolam,1
Mlayune wis kaya cepet banget,Mlayune wis kaya alon banget,Mlayune wis kaya kancil,0
Mlayune wis kaya cepet banget,Mlayune wis kaya alon banget,Mlayune wis kaya kura,1
Saben lebaran omah iki rame banget,Saben lebaran omah iki sepi banget,Saben lebaran omah iki kaya pasar,0
Saben lebaran omah iki rame banget,Saben lebaran omah iki sepi banget,Saben lebaran omah iki kaya kuburan,1
Bangunan iki rasane kaya pohon beringin,Bangunan iki rasane kaya pohon ketela,Bangunan iki rasane kaya wit ringin,0
Bangunan iki rasane kaya pohon beringin,Bangunan iki rasane kaya pohon ketela,Bangunan iki rasane kaya wit tela,1
Simbah suarane merdu kaya udah,Simbah suarane gembredek kaya gluduk,Simbah suarane kaya udan,0
Simbah suarane merdu kaya udah,Simbah suarane gembredek kaya gluduk,Simbah suarane kaya gluduk,1
"Cah iku yen dikandhani angel banget, keras kepala",Cah iku yen dikandhani manut,Cah iku yen dikandhani kaya watu,0
"Cah iku yen dikandhani angel banget, keras kepala",Cah iku yen dikandhani manut,Cah iku yen dikandhani kaya banyu,1
"Panganan iki rasane kaya bintang lima, tapi regane larange banget","Panganan iki rasane kaya bintang lima, tapi regane murah banget","Panganan iki rasane kaya bintang lima, nanging regane bintang lima",0
"Panganan iki rasane kaya bintang lima, tapi regane larange banget","Panganan iki rasane kaya bintang lima, tapi regane murah banget","Panganan iki rasane kaya bintang lima, nanging regane kaki lima",1
"Nardi iki piye carane sikatan, untune wis kaya kuning banget","Nardi iki piye carane sikatan, untune wis kaya putih banget","Nardi iki piye carane sikatan, untune wis kaya emas 24 karat",0
"Nardi iki piye carane sikatan, untune wis kaya kuning banget","Nardi iki piye carane sikatan, untune wis kaya putih banget","Nardi iki piye carane sikatan, untune wis kaya gamping",1
Pak Danu yen kena masalah berubah dadi beringas kaya singa,Pak Danu yen kena masalah berubah dadi kalem kaya kucing,Pak Danu yen kena masalah berubah dadi singa,0
Pak Danu yen kena masalah berubah dadi beringas kaya singa,Pak Danu yen kena masalah berubah dadi kalem kaya kucing,Pak Danu yen kena masalah berubah dadi kucing,1
Mbak e nduweni awak dhuwur langsing,Mbak e nduweni awak pendek lemu,Mbak e nduweni awak kaya gitar spanyol,0
Mbak e nduweni awak dhuwur langsing,Mbak e nduweni awak pendek lemu,Mbak e nduweni awak kaya guci,1
"Wis dididik, diajari sampe sukses, bocah kuwi kaya lali asal muasale","Wis dididik, diajari sampe sukses, bocah kuwi kaya iling asale","Wis dididik, diajari sampe sukses, bocah kuwi kaya kacang",0
"Wis dididik, diajari sampe sukses, bocah kuwi kaya lali asal muasale","Wis dididik, diajari sampe sukses, bocah kuwi kaya iling asale","Wis dididik, diajari sampe sukses, bocah kuwi kaya penyu",1
Ibu yen nesu kaya arep mbledos,Ibu yen nesu kaya kalem,Ibu yen nesu kaya Gunung Merapi,0
Ibu yen nesu kaya arep mbledos,Ibu yen nesu kaya kalem,Ibu yen nesu kaya segara,1
"Mobil iku langka banget, gaono wujude",Mobil iku gampang banget ditemu,Mobil iku ghoib,0
"Mobil iku langka banget, gaono wujude",Mobil iku gampang banget ditemu,Mobil iku pasaran,1
Deni yen wis nari luwes banget kaya godhong ceblok,Deni yen wis nari kaku banget kaya robot,Deni yen wis nari kaya godhong ceblok,0
Deni yen wis nari luwes banget kaya godhong ceblok,Deni yen wis nari kaku banget kaya robot,Deni yen wis nari kaya robot,1
Kowe apa wis mangan? Kok polahmu kaya beringas,Kowe apa wis mangan? Kok polahmu kaya lemes banget,Kowe apa wis mangan? Kok polahmu kaya banteng nesu,0
Kowe apa wis mangan? Kok polahmu kaya beringas,Kowe apa wis mangan? Kok polahmu kaya lemes banget,Kowe apa wis mangan? Kok polahmu kaya kucing luwe,1
Wong yen wis gedhe iku aja meneng wae,Wong yen wis gedhe iku bebas,Wong yen wis gedhe iku ojo kaya katak ning njero tempurung,0
Wong yen wis gedhe iku aja meneng wae,Wong yen wis gedhe iku bebas,Wong yen wis gedhe iku kaya walet,1
Motor iku yen ditumpaki cepet banget,Motor iku yen ditumpaki alon banget,Motor iku yen ditumpaki wis kaya jet,0
Motor iku yen ditumpaki cepet banget,Motor iku yen ditumpaki alon banget,Motor iku yen ditumpaki wis kaya dokar,1
"Ndek sekolah, Andi iku juara kelas","Ndek sekolah, Andi iku ranking paling ngisor","Ndek sekolah, Andi iku bintang kelas",0
"Ndek sekolah, Andi iku juara kelas","Ndek sekolah, Andi iku ranking paling ngisor","Ndek sekolah, Andi iku juru kunci kelas",1
Aldi lan Doni iku sahabat sing wis kokoh banget kaya rante,Aldi lan Doni iku sahabat sing wis rapuh lan tipis kaya senar,Aldi lan Doni iku sahabat sing wis kaya rante,0
Aldi lan Doni iku sahabat sing wis kokoh banget kaya rante,Aldi lan Doni iku sahabat sing wis rapuh lan tipis kaya senar,Aldi lan Doni iku sahabat sing wis kaya senar,1
Pengawas ujian iku nduweni mata awas banget kaya elang,Pengawas ujian iku nduweni mata rabun kaya lawa,Pengawas ujian iku nduweni mata kaya elang,0
Pengawas ujian iku nduweni mata awas banget kaya elang,Pengawas ujian iku nduweni mata rabun kaya lawa,Pengawas ujian iku nduweni mata kaya lawa,1
Wong iku kulite kaya lembut kaya kulit bayi,Wong iku kulite kaya kasar kaya kulit boyo,Wong iku kulite kaya kulit bayi,0
Wong iku kulite kaya lembut kaya kulit bayi,Wong iku kulite kaya kasar kaya kulit boyo,Wong iku kulite kaya kulit boyo,1
Masa depane cah kuwi kaya cerah banget,Masa depane cah kuwi kaya peteng,Masa depane cah kuwi kaya siang,0
Masa depane cah kuwi kaya cerah banget,Masa depane cah kuwi kaya peteng,Masa depane cah kuwi kaya malam,1
Sikapmu ramah banget kaya srengenge,Sikapmu adem banget kaya es,Sikapmu kaya srengenge,0
Sikapmu ramah banget kaya srengenge,Sikapmu adem banget kaya es,Sikapmu kaya es batu,1
Adike Doni perawakane gede banget kaya gajah,Adike Doni perawakane cilik banget kaya semut,Adike Doni perawakane kaya gajah,0
Adike Doni perawakane gede banget kaya gajah,Adike Doni perawakane cilik banget kaya semut,Adike Doni perawakane kaya semut,1
"Yen didelok, Pak Guru iku sikape gampang berubah","Yen didelok, Pak Guru iku sikape teguh","Yen didelok, Pak Guru iku sikape kaya banyu nang godhong talas",0
"Yen didelok, Pak Guru iku sikape gampang berubah","Yen didelok, Pak Guru iku sikape teguh","Yen didelok, Pak Guru iku sikape kaya watu",1
Guyune manis kaya gula,Guyune pait kaya kopi,Guyune kaya gula jawa,0
Guyune manis kaya gula,Guyune pait kaya kopi,Guyune kaya kopi,1
Pasangan iku yen didelok kaya ora cocok,Pasangan iku yen didelok kaya cocok banget,Pasangan iku yen didelok kaya banyu lan minyak,0
Pasangan iku yen didelok kaya ora cocok,Pasangan iku yen didelok kaya cocok banget,Pasangan iku yen didelok kaya alas lan udan,1
Rambute alus lan lurus kaya kain sutra,Rambute bergelombang keriting kaya kain wol,Rambute kaya kain sutra,0
Rambute alus lan lurus kaya kain sutra,Rambute bergelombang keriting kaya kain wol,Rambute kaya kain wol,1
Urip iki senajan sedilut,Urip iki senajan suwe,Urip iki kaya mampir ngombe,0
Urip iki senajan sedilut,Urip iki senajan suwe,Urip iki kaya mlaku adoh,1
Bocah kuwi nemu omah cocok,Bocah kuwi nemu omah ora cocok,Bocah kuwi nemu omah umpama tumbu oleh tutup,0
Bocah kuwi nemu omah cocok,Bocah kuwi nemu omah ora cocok,Bocah kuwi nemu omah umpama kuthuk marani sunduk,1
Rasa ombenan alkohol kuwi legi banget,Rasa ombenan alkohol kuwi pait banget,Rasa ombenan alkohol kuwi umpama pait madu,0
Rasa ombenan alkohol kuwi legi banget,Rasa ombenan alkohol kuwi pait banget,Rasa ombenan alkohol kuwi umpama legi racun,1
Bocah kembar iku raine bedho,Bocah kembar iku raine padha,Bocah kembar iku raine kaya bhumi karo langit,0
Bocah kembar iku raine bedho,Bocah kembar iku raine padha,Bocah kembar iku raine kaya pring diparuh,1
Pancen dadi polisi kuwi angel,Pancen dadi polisi kuwi gampang,Pancen dadi polisi kuwi kaya cebol nggayuh lintang,0
Pancen dadi polisi kuwi angel,Pancen dadi polisi kuwi gampang,Pancen dadi polisi kuwi kaya nemu mas ing omah dewe,1
