ending1,ending2,startphrase,labels
sasa teh biasana ramah,sasa teh biasana judes.,sasa teh biasana sok jadi haseum budi.,1
lamun bade nginjem duit kudu make duit anu teu menang dipake biasana lain anu pribadi,lamun bade nginjem duit kudu make duit anu pribadi moal waka dipake.,lamun bade nginjem duit kudu make duit panas,0
lamun bade nginjem duit kudu make duit anu teu menang dipake biasana lain anu pribadi,lamun bade nginjem duit kudu make duit anu pribadi moal waka dipake.,lamun bade nginjem duit kudu make duit tiis.,1
jalma ayeuna teh sok babari ngarobah omongan atawa janji,jalma ayeuna teh sok pageuh kana omongan atawa janji.,jalma ayeuna teh sok gurat cai,0
jalma ayeuna teh sok babari ngarobah omongan atawa janji,jalma ayeuna teh sok pageuh kana omongan atawa janji.,jalma ayeuna teh sok gurat batu.,1
lamun bisnis mah pasti jadi loba duit,lamun bisnis mah pasti jadi kacida teu boga duit.,lamun bisnis mah pasti jadi kandel dompet,0
lamun bisnis mah pasti jadi loba duit,lamun bisnis mah pasti jadi kacida teu boga duit.,lamun bisnis mah pasti jadi kokoro nyoso.,1
nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean,nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean nepi ka poho ka diri sorangan.,nanaon ge teu menang kaleleuwihan bisi tamplok bacoteun,0
nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean,nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean nepi ka poho ka diri sorangan.,nanaon ge teu menang kaleleuwihan bisi tamplok batokeun.,1
jadi jelema teh kadang bisa jadi pikareseupeun,jadi jelema teh kadang bisa jadi pikasebeleun.,jadi jelema teh kadang bisa jadi yuni kembang,0
jadi jelema teh kadang bisa jadi pikareseupeun,jadi jelema teh kadang bisa jadi pikasebeleun.,jadi jelema teh kadang bisa jadi yuni tai.,1
"jelema teh kabagi jadi dua, nyaeta anu bersih hate","jelema teh kabagi jadi dua, nyaeta anu goreng hate iri, dengki.","jelema teh kabagi jadi dua, nyaeta anu wening galih",0
"jelema teh kabagi jadi dua, nyaeta anu bersih hate","jelema teh kabagi jadi dua, nyaeta anu goreng hate iri, dengki.","jelema teh kabagi jadi dua, nyaeta anu sulit ati.",1
kudu hati hati milih pasangan bisi jadi awewe anu beak hartana,kudu hati hati milih pasangan bisi jadi lalaki anu beak hartana.,kudu hati hati milih pasangan bisi jadi potol jarum,0
kudu hati hati milih pasangan bisi jadi awewe anu beak hartana,kudu hati hati milih pasangan bisi jadi lalaki anu beak hartana.,kudu hati hati milih pasangan bisi jadi potol teko.,1
si Bina mah anak anu dipikanyaah,si Bina mah anak tere.,si Bina mah anak emas,0
si Bina mah anak anu dipikanyaah,si Bina mah anak tere.,si Bina mah anak sampeuran.,1
budak teh kudu alus didikana,budak teh kudu kurang didikan.,budak teh kudu asak warah,0
budak teh kudu alus didikana,budak teh kudu kurang didikan.,budak teh kudu atah adol.,1
tong jadi budak anu bodo tapi tara daek nanya,tong jadi budak anu bodo tapi daek tatanya.,tong jadi budak anu bodo katotoloyo,0
tong jadi budak anu bodo tapi tara daek nanya,tong jadi budak anu bodo tapi daek tatanya.,tong jadi budak anu bodo alewoh.,1
ari jadi salaki teh kudu digawe popohoan,ari jadi salaki teh kudu teu bisa digawe.,ari jadi salaki teh kudu banting tulang,0
ari jadi salaki teh kudu digawe popohoan,ari jadi salaki teh kudu teu bisa digawe.,ari jadi salaki teh kudu badag cagap.,1
si Dewi mah jadi gadis teh meni teu sombong,si Dewi mah jadi gadis teh meni sombong.,si Dewi mah jadi gadis teh meni handap asor,0
si Dewi mah jadi gadis teh meni teu sombong,si Dewi mah jadi gadis teh meni sombong.,si Dewi mah jadi gadis teh meni gede hulu.,1
ceunah lamun jadi awewe teh kudu anggun,ceunah lamun jadi awewe teh kudu buruk rupa.,ceunah lamun jadi awewe teh kudu siga putri raja,0
ceunah lamun jadi awewe teh kudu anggun,ceunah lamun jadi awewe teh kudu buruk rupa.,ceunah lamun jadi awewe teh kudu siga mak lampir.,1
poe ieu teh cuaca siga panas pisan,poe ieu teh cuaca siga hujan angin.,poe ieu teh cuaca siga bisa ngagoreng lauk dinu aspal,0
poe ieu teh cuaca siga panas pisan,poe ieu teh cuaca siga hujan angin.,poe ieu teh cuaca siga hujan angin dordar gelap.,1
hujan teh meuni badag jeung gandeng,hujan teh meuni sepi jeung geunaheun.,hujan teh meuni siga ngajak geulut,0
hujan teh meuni badag jeung gandeng,hujan teh meuni sepi jeung geunaheun.,hujan teh meuni siga tiis ceuli.,1
"si eta mah kuatannya, teu gampang geuring","si eta mah kuatannya, teu sehat.","si eta mah kuatannya, teu siga lempeuh yuni",0
"si eta mah kuatannya, teu gampang geuring","si eta mah kuatannya, teu sehat.","si eta mah kuatannya, teu siga jagjag waringkas.",1
ai budak keneh mah antep kudu jadi budak nu reseup kaluar,ai budak keneh mah antep kudu jadi tong dikurung.,ai budak keneh mah antep kudu jadi kembang buruan,0
ai budak keneh mah antep kudu jadi budak nu reseup kaluar,ai budak keneh mah antep kudu jadi tong dikurung.,ai budak keneh mah antep kudu jadi kurung batok.,1
Kadang hirup teh bisa jadi katingali senang,Kadang hirup teh bisa jadi teu bahagia.,Kadang hirup teh bisa jadi kembang seungit,0
Kadang hirup teh bisa jadi katingali senang,Kadang hirup teh bisa jadi teu bahagia.,Kadang hirup teh bisa jadi bau bangke.,1
Ulah agul kana harta saetik nu dipikaboga ayeuna,Ulah agul kana harta loba nu dipikaboga ayeuna.,Ulah agul kana payung butut,0
Ulah agul kana harta saetik nu dipikaboga ayeuna,Ulah agul kana harta loba nu dipikaboga ayeuna.,Ulah agul kana imah gedogan.,1
Jalma teh bisa jadi nu tenang,Jalma teh bisa jadi nu riweuh.,Jalma teh bisa jadi cai,0
Jalma teh bisa jadi nu tenang,Jalma teh bisa jadi nu riweuh.,Jalma teh bisa jadi seune.,1
Hirup kudu bisa jadi boga pamadegan,Hirup kudu bisa jadi plin-plan.,Hirup kudu bisa jadi batu,0
Hirup kudu bisa jadi boga pamadegan,Hirup kudu bisa jadi plin-plan.,Hirup kudu bisa jadi awi sumaer di pasir.,1
Jadi budak ulah teu sopan,Jadi budak ulah sopan.,Jadi budak ulah nincak hulu,0
Jadi budak ulah teu sopan,Jadi budak ulah sopan.,Jadi budak ulah hade basa.,1
hirup mah ngan ukur senang,hirup mah ngan ukur sedih.,hirup mah ngan ukur hahay,0
hirup mah ngan ukur senang,hirup mah ngan ukur sedih.,hirup mah ngan ukur dedeuh.,1
ai ka batur teh ulah sok ningali ti luarna hungkul,ai ka batur teh ulah sok leuwi jero.,ai ka batur teh ulah sok ngukur baju sasereg awak,0
ai ka batur teh ulah sok ningali ti luarna hungkul,ai ka batur teh ulah sok leuwi jero.,ai ka batur teh ulah sok ngukur baju jeung kaen-kaenna.,1
kulit teh meuni kelir koneng,kulit teh meuni kelir coklat.,kulit teh meuni kelir kawas cangkang cau,0
kulit teh meuni kelir koneng,kulit teh meuni kelir coklat.,kulit teh meuni kelir kawas sawo asak.,1
"lamun aya masalah, hidup teh karasa keurteu lancar","lamun aya masalah, hidup teh karasa keur mulus.","lamun aya masalah, hidup teh karasa keur buuk pakusut",0
"lamun aya masalah, hidup teh karasa keurteu lancar","lamun aya masalah, hidup teh karasa keur mulus.","lamun aya masalah, hidup teh karasa keur jalan tol.",1
jadi gadis balik teh tong pas datang isuk,jadi gadis balik teh tong pas datang peuting.,jadi gadis balik teh tong pas datang panonpoe,0
jadi gadis balik teh tong pas datang isuk,jadi gadis balik teh tong pas datang peuting.,jadi gadis balik teh tong pas datang bulan.,1
Lamun gawe teh kuduna bisa kompak,Lamun gawe teh kuduna bisa masing-masing.,Lamun gawe teh kuduna mah bisa rerejeungan,0
Lamun gawe teh kuduna bisa kompak,Lamun gawe teh kuduna bisa masing-masing.,Lamun gawe teh kuduna mah bisa paaing-aing.,1
Nuju liburan teh kedah bari gumbira,Nuju liburan teh kedah bari nyesel.,Nuju liburan teh kedah bari bear budi,0
Nuju liburan teh kedah bari gumbira,Nuju liburan teh kedah bari nyesel.,Nuju liburan teh kedah bari kaduhung.,1
Hirup teh kadang bisa jadi teu dihargaan,Hirup teh kadang bisa jadi diagung-agungkeun.,Hirup teh kadang bisa jadi runtah,0
Hirup teh kadang bisa jadi teu dihargaan,Hirup teh kadang bisa jadi diagung-agungkeun.,Hirup teh kadang bisa jadi emas.,1
Sangkan hirup teh loba cobaan,Sangkan hirup teh loba kabahagiaan kudu bisa ngarumasakeun.,Sangkan hirup teh loba kapait,0
Sangkan hirup teh loba cobaan,Sangkan hirup teh loba kabahagiaan kudu bisa ngarumasakeun.,Sangkan hirup teh loba kaamis kudu bisa ngarumasakeun.,1
Ngomong jeung si eta mah nya meuni lalaunan,Ngomong jeung si eta mah nya meuni jojorowokan.,Ngomong jeung si eta mah nya meuni kawas sireum,0
Ngomong jeung si eta mah nya meuni lalaunan,Ngomong jeung si eta mah nya meuni jojorowokan.,Ngomong jeung si eta mah nya meuni kawas maung.,1
Kadang jelema teh bisa teu boga kaera,Kadang jelema teh bisa eraan.,Kadang jelema teh bisa kandel kulit bengeut,0
Kadang jelema teh bisa teu boga kaera,Kadang jelema teh bisa eraan.,Kadang jelema teh bisa ipis kulit bengeut.,1
Ayeuna mah tos jadi kolot,Ayeuna mah tos jadi ngora keneh.,ayeuna buuk na teh tos jadi barodas,0
Ayeuna mah tos jadi kolot,Ayeuna mah tos jadi ngora keneh.,ayeuna buuk na teh tos jadi harideung.,1
Jadi jelema mah ulah iri,Jadi jelema mah ulah bageur.,Jadi jelema mah ulah sulit ati,0
Jadi jelema mah ulah iri,Jadi jelema mah ulah bageur.,Jadi jelema mah ulah hade hate.,1
Ayeuna mah ka Bandung teh meuni deket,Ayeuna mah ka Bandung teh meuni jauh.,Ayeuna mah ka Bandung teh meuni siga jalan ka cai,0
Ayeuna mah ka Bandung teh meuni deket,Ayeuna mah ka Bandung teh meuni jauh.,Ayeuna mah ka Bandung teh meuni siga mapay jalan satapak.,1
Maneh mah jadi jelema teh meuni loba dahar,Maneh mah jadi jelema teh meuni tara barang dahar.,Maneh mah jadi jelema teh meuni beteung karet,0
Maneh mah jadi jelema teh meuni loba dahar,Maneh mah jadi jelema teh meuni tara barang dahar.,Maneh mah jadi jelema teh meuni beuteng heras.,1
Lalakonna keueungeun,Lalakonna liar.,Lalakonna siga bangkong dikurung batok,0
Lalakonna keueungeun,Lalakonna liar.,Lalakonna siga manuk dikencarkeun.,1
Balong laukna beresih,Balong laukna ledig.,Balong laukna siga mencrang cai herang,0
Balong laukna beresih,Balong laukna ledig.,Balong laukna siga buyatak solokan.,1
Rupina sae,Rupina awon.,Rupina siga kembang beukah,0
Rupina sae,Rupina awon.,Rupina siga tahu beukah.,1
Sora na tarik,Sora na laun.,Sorana kawas tarompet,0
Sora na tarik,Sora na laun.,Sorana kawas susumputan.,1
Neangan si eta hese,Neangan si eta gampil.,Neangan si eta kawas neang jarum di sawah,0
Neangan si eta hese,Neangan si eta gampil.,Neangan si eta kawas neang domba dina kandang hayam.,1
Sapopoe si eta seueur emutan,Sapopoe si eta euweuh pagawean.,Sapopoe si eta kawas nu diudag ku rentenir,0
Sapopoe si eta seueur emutan,Sapopoe si eta euweuh pagawean.,Sapopoe si eta kawas nu teu boga pamajikan.,1
Mun dahar loba,Mun dahar saeutik.,Mun makan siga nu teu boga duit,0
Mun dahar loba,Mun dahar saeutik.,Mun makan siga loba duit.,1
Nasihat apa na diemutan,Nasihat apa na poho.,Nasehat ti bapa na nangceub siga batu,0
Nasihat apa na diemutan,Nasihat apa na poho.,Nasehat ti bapa na leungit siga debu kahujanan.,1
Daging na hipu,Daging na heuras.,Dagingna siga tahu,0
Daging na hipu,Daging na heuras.,Dagingna siga batu.,1
Gawe na gancang,Gawe na lila.,Gawena siga nu diudag ku anjing,0
Gawe na gancang,Gawe na lila.,Gawena siga nu keong meuntas jalan.,1
Sakapeung jodoh teh teu kantos ditebak,Sakapeung jodoh teh kantos ditebak.,Sakapeung jodoh teh kawas meuli ucing dina karung,0
Sakapeung jodoh teh teu kantos ditebak,Sakapeung jodoh teh kantos ditebak.,Sakapeung jodoh teh kawas meuli bumbu di pasar.,1
Acuk na sae,Acuk na awon.,Acukna siga meuli di mall,0
Acuk na sae,Acuk na awon.,Acukna siga nimu di rongsokan.,1
Sapi na ageung,Sapi na leutik.,Sapi na siga limosin,0
Sapi na ageung,Sapi na leutik.,Sapi na siga nu cacingan.,1
Mung ngomong nyeurikeun hate,Mung ngomong hati-hati.,Mung ngomong siga aya sambelna,0
Mung ngomong nyeurikeun hate,Mung ngomong hati-hati.,Mung ngomong siga putri solo.,1
Ditingal teh si eta bau,Ditingal teh si eta wangi.,Ditingal teh si eta siga nu can ibak,0
Ditingal teh si eta bau,Ditingal teh si eta wangi.,Ditingal teh si eta siga ibak kembang tujuh rupi.,1
Ka pasar loba dangdan,Ka pasar teu dangdan.,Ka pasar ge siga nu rek ka uleman,0
Ka pasar loba dangdan,Ka pasar teu dangdan.,Ka pasar ge siga nu rek sare.,1
Lengeunna geutihan loba,Lengeunna geutihan saeutik.,Lengeunna geutihan siga nu ditabrak mobil,0
Lengeunna geutihan loba,Lengeunna geutihan saeutik.,Lengeunna geutihan siga kakowet ucing.,1
Si eta mung ceurik tarik,Si eta mung ceurik lalaunan.,Si eta mung ceurik siga nu loba masalah,0
Si eta mung ceurik tarik,Si eta mung ceurik lalaunan.,Si eta mung ceurik siga euweuh masalah.,1
Aya nu nyetir ugal-ugalan,Aya nu nyetir hati-hati.,Aya nu nyetir siga jalan boga akina,0
Aya nu nyetir ugal-ugalan,Aya nu nyetir hati-hati.,Aya nu nyetir siga sieun labuh.,1
Mangga na amis,Mangga na haseum.,Mangga na siga madu,0
Mangga na amis,Mangga na haseum.,Mangga na siga cuka.,1
Kalakuan rai na ka adi jail,Kalakuan rai na ka adi nyaah.,Rai na ka adi na teh siga cocoan,0
Kalakuan rai na ka adi jail,Kalakuan rai na ka adi nyaah.,Rai na ka adi na teh siga perhiasan.,1
Mung nyauran gugurusuhan,Mung nyauran anteng.,Si eta mung ngomong siga nu kahuruan,0
Mung nyauran gugurusuhan,Mung nyauran anteng.,Si eta mung ngomong siga aya di situ.,1
Rupi na kasep,Rupi na awon.,Rupi na siga arjuna,0
Rupi na kasep,Rupi na awon.,Rupi na siga cepot.,1
Kuliah na rajin,Kuliah na sakahayang.,Kuliah na siga euweuh tanggal beureum,0
Kuliah na rajin,Kuliah na sakahayang.,Kuliah na siga kalender isina tanggal beureum.,1
Awakna kiat,Awakna letoy.,Awakna siga tangkal jati,0
Awakna kiat,Awakna letoy.,Awakna siga tangkal gedang.,1
Mung lumpat gancang,Mung lumpat lila.,Mung lumpat si eta siga peucang,0
Mung lumpat gancang,Mung lumpat lila.,Mung lumpat si eta siga kuya.,1
Si eta kuliah na sibuk,Si eta kuliah na santai.,Si eta kuliah siga nu teu kantos bobo,0
Si eta kuliah na sibuk,Si eta kuliah na santai.,Si eta kuliah siga nu teu aya beban.,1
Masakan na awon,Masakan na ngeunah.,Masakanna kawas nu hoyong geura nikah,0
Masakan na awon,Masakan na ngeunah.,Masakanna kawas nu boga resto ageung.,1
Hawa na tiis,Hawa na panas.,Hawa na siga di leuweung,0
Hawa na tiis,Hawa na panas.,Hawa na siga di pasar.,1
Kaayaan ayeuna awon,Kaayaan ayeuna alus.,Kaayaan ayeuna kawas loba dosa,0
Kaayaan ayeuna awon,Kaayaan ayeuna alus.,Kaayaan ayeuna kawas loba pahala.,1
Hujan na lebat,Hujan na tiiseun.,Hujanna kawas cai ngagubrag,0
Hujan na lebat,Hujan na tiiseun.,Hujanna kawas cai ceret.,1
Salaki na kedul,Salaki na rajin.,Salaki na kawas Kabayan,0
Salaki na kedul,Salaki na rajin.,Salaki na kawas Nyi Iteung.,1
Budak na kurus,Budak na gendut.,Budak na siga nu dipoe ti isuk nepi peuting,0
Budak na kurus,Budak na gendut.,Budak na siga nu dihuapan sapopoe.,1
Hirup teh loba tantangan,Hirup teh teu aya tantangan.,Hirup teh kawas meuntas atas benang,0
Hirup teh loba tantangan,Hirup teh teu aya tantangan.,Hirup teh kawas leumpang dina jalan lega.,1
Keneh isuk tos panas,Keneh isuk keneh tiis.,Keneh isuk ngan siga panonpoe geus mencrang wae,0
Keneh isuk tos panas,Keneh isuk keneh tiis.,Keneh isuk ngan siga moal aya deui panonpoe.,1
Ngabaturan si eta unggal poe loba masalah,Ngabaturan si eta unggal poe euweuh masalah.,Ngabaturan si eta unggal poe siga keur aya perang wae,0
Ngabaturan si eta unggal poe loba masalah,Ngabaturan si eta unggal poe euweuh masalah.,Ngabaturan si eta unggal poe siga boga asisten sagala tiasa.,1
Ka kolot undak unduk na siga durhaka,Ka kolot undak unduk na siga ngabaktos.,Kakolot undak unduk na siga malin kundang,0
Ka kolot undak unduk na siga durhaka,Ka kolot undak unduk na siga ngabaktos.,Kakolot undak unduk na siga lukman hakim.,1
Budak ayeuna mung gawe lambat,Budak ayeuna mung gawe geusit.,Budak ayeuna mung gawe kawas kebo,0
Budak ayeuna mung gawe lambat,Budak ayeuna mung gawe geusit.,Budak ayeuna mung gawe kawas peucang.,1
Milarian artos rajin,Milarian artos nyalse.,Milarian artos siga nu moal waka gugah deui,0
Milarian artos rajin,Milarian artos nyalse.,Milarian artos siga artos ngagolosor ti langit.,1
Mie na beukah sae,Mie na beukah teu tangtu.,Mie na beukah kawas kembang aromanis,0
Mie na beukah sae,Mie na beukah teu tangtu.,Mie na beukah kawas adonan buyatak.,1
Bumi na beresih pisan,Bumi na buladig.,Bumi na siga nu teu aya cucunguk sahiji-hiji acan,0
Bumi na beresih pisan,Bumi na buladig.,Bumi na siga sarang na cucunguk.,1
Sakola na ka bumi tebih,Sakola na ka bumi caket.,Sakola na ka bumi siga ti kulon ka wetan,0
Sakola na ka bumi tebih,Sakola na ka bumi caket.,Sakola na ka bumi siga ukur salengkah.,1
Pangaos cocoan si ade awis,Pangaos cocoan si ade mirah.,Pangaos cocoan si ade siga panagos imah jeung sawah,0
Pangaos cocoan si ade awis,Pangaos cocoan si ade mirah.,Pangaos cocoan si ade siga cimol tilu siki.,1
Wengi ieu langit na mencrang,Wengi ieu langit na ceudeum.,Wengi ieu langit na siga cai herang,0
Wengi ieu langit na mencrang,Wengi ieu langit na ceudeum.,Wengi ieu langit na siga cai kopi.,1
Kasohor na eta artis sagala jalmi uninga,Kasohor na eta artis teu aya jalmi uninga.,Kasohor na eta artis siga nu gaduh panghargaan ti seeuer nagara,0
Kasohor na eta artis sagala jalmi uninga,Kasohor na eta artis teu aya jalmi uninga.,Kasohor na eta artis siga nu teu aya internet wae.,1
Hasil melak na loba,Hasil melak na saeutik.,Hasil melak na kawas kali keur banjir,0
Hasil melak na loba,Hasil melak na saeutik.,Hasil melak na kawas kali keur saat.,1
Nu lalajo di stadion kamari rame,Nu lalajo di stadion kamari sepi.,Nu lalajo di stadion kamari siga budak leutik,0
Nu lalajo di stadion kamari rame,Nu lalajo di stadion kamari sepi.,Nu lalajo di stadion kamari siga nu karolot kabeh.,1
Beuki ka dieu pamarentah beuki korup,Beuki ka dieu pamarentah beuki ngaalusan.,Beuki ka dieu pamarentah teh siga beurit dina lumbung pare,0
Beuki ka dieu pamarentah beuki korup,Beuki ka dieu pamarentah beuki ngaalusan.,Beuki ka dieu pamarentah teh siga pare nu geus asak.,1
Sanajan loba masalah maneh na pantang nyerah,Sanajan loba masalah maneh na gampil nyerah.,Sanajan loba masalah manehna siga jukut di leuweung,0
Sanajan loba masalah maneh na pantang nyerah,Sanajan loba masalah maneh na gampil nyerah.,Sanajan loba masalah manehna siga kembang katewak angin.,1
Ngalereskeun ieu mesin hese,Ngalereskeun ieu mesin gampil.,Ngalereskeun ieu mesin siga nu keur operasi jantung,0
Ngalereskeun ieu mesin hese,Ngalereskeun ieu mesin gampil.,Ngalereskeun ieu mesin siga ngalereskeun cocoan budak.,1
Asep lumpatna gancang,Asep lumpatna lila.,Asep lumpatna kawas uncal,0
Asep lumpatna gancang,Asep lumpatna lila.,Asep lumpatna kawas keong.,1
Si Iwan kasohor lantaran kasep,Si Iwan kasohor lantaran goreng.,Si Iwan kasohor lantaran siga foto model,0
Si Iwan kasohor lantaran kasep,Si Iwan kasohor lantaran goreng.,Si Iwan kasohor lantaran siga foto modol.,1
Mun jadi jalmi ulah sok kedul,Mun jadi jalmi ulah sok getol.,Mun jadi jalmi ulah sok beurat birit,0
Mun jadi jalmi ulah sok kedul,Mun jadi jalmi ulah sok getol.,Mun jadi jalmi ulah sok hampang birit.,1
Hirup teh sulit,Hirup teh gampil.,Hirup teh kawas leumpang di gigir gawir,0
Hirup teh sulit,Hirup teh gampil.,Hirup teh kawas lumpat di lapang.,1
Meuli hp mahal,Meuli hp murah.,Meuli hp saharga imah gedongan,0
Meuli hp mahal,Meuli hp murah.,Meuli hp saharga rorompok gubuk.,1
Omongan Pak Ustad amis,Omongan Pak Ustad pait.,Omongan Pak Ustad kawas gula dina enteh,0
Omongan Pak Ustad amis,Omongan Pak Ustad pait.,Omongan Pak Ustad kawas kopi hideung.,1
Ieu kabar ngareuwaskeun,Ieu kabar nenangkeun.,Ieu kabar umpama hujan bentar,0
Ieu kabar ngareuwaskeun,Ieu kabar nenangkeun.,Ieu kabar umpama angin ngahiliwir.,1
Kulit Siti mulus,Kulit Siti korodok.,Kulit Siti kos bujur orok,0
Kulit Siti mulus,Kulit Siti korodok.,Kulit Siti kos careuh bulan.,1
Sikap anjeunna tiis,Sikap anjeunna haneut.,Sikap anjeunna siga es batu,0
Sikap anjeunna tiis,Sikap anjeunna haneut.,Sikap anjeunna siga susu botol jang orok.,1
Adi lanceuk teh kalakuan teu akur,Adi lanceuk teh kalakuan akur.,Adi lanceuk teh kalakuan kos anjing jeung ucing,0
Adi lanceuk teh kalakuan teu akur,Adi lanceuk teh kalakuan akur.,Adi lanceuk teh kalakuan kos jalak jeung kebo.,1
Boga kabogoh teh sikapna wanian,Boga kabogoh teh sikapna eraan.,Boga kabogoh teh sikapna kos maung,0
Boga kabogoh teh sikapna wanian,Boga kabogoh teh sikapna eraan.,Boga kabogoh teh sikapna kos kukang.,1
Lanceuk abdi awakna begang,Lanceuk abdi awakna buleud.,Lanceuk abdi awakna sapertos nyere,0
Lanceuk abdi awakna begang,Lanceuk abdi awakna buleud.,Lanceuk abdi awakna sapertos gajah.,1
Gawe teh ngabagjakeun,Gawe teh hanjelu.,Gawe teh umpama nginum cai sirop,0
Gawe teh ngabagjakeun,Gawe teh hanjelu.,Gawe teh umpama nginum peresan limo.,1
Sora manehna merdu,Sora manehna gandeng.,Sora manehna kawas kicau manuk dadali,0
Sora manehna merdu,Sora manehna gandeng.,Sora manehna kawas hujan geledek.,1
Awak manehna meuni seungit,Awak manehna meuni bau.,Awak manehna meuni kawas mawar bodas,0
Awak manehna meuni seungit,Awak manehna meuni bau.,Awak manehna meuni kawas kembang bangke.,1
Ponten rapor kuring goreng,Ponten rapor kuring alus.,Ponten rapor kuring umpama beureum getih,0
Ponten rapor kuring goreng,Ponten rapor kuring alus.,Ponten rapor kuring umpama biru langit.,1
Ditolak manehna meuni nyeri,Ditolak manehna meuni gumbira.,Ditolak manehna umpama hate dikeureut peso,0
Ditolak manehna meuni nyeri,Ditolak manehna meuni gumbira.,Ditolak manehna umpama taman pinuh ku kembang.,1
Omongan manehna robah-robah,Omongan manehna ajeg.,Omongan manehna kawas cai di daun taleus,0
Omongan manehna robah-robah,Omongan manehna ajeg.,Omongan manehna kawas tangkal beringin.,1
Kosan rerencangan abdi lega,Kosan rerencangan abdi heurin.,Kosan rerencangan abdi sapertos lapangan bola,0
Kosan rerencangan abdi lega,Kosan rerencangan abdi heurin.,Kosan rerencangan abdi sapertos liang sireum.,1
Cicing di imah teh teu betah,Cicing di imah teh betah.,Cicing di imah teh kos cicing di neraka,0
Cicing di imah teh teu betah,Cicing di imah teh betah.,Cicing di imah teh kos cicing di taman firdaus.,1
Ngaharep balesan manehna mustahil,Ngaharep balesan manehna teu kudu usaha.,Ngaharep balesan manehna ibarat ngajarkeun lauk naek tangkal,0
Ngaharep balesan manehna mustahil,Ngaharep balesan manehna teu kudu usaha.,Ngaharep balesan manehna ibarat ngajarkeun monyet naek tangkal.,1
Milarian padamelan ayeuna mah sesah,Milarian padamelan ayeuna mah gampil.,Milarian padamelan ayena mah sapertos milarian bintang di beurang copong,0
Milarian padamelan ayeuna mah sesah,Milarian padamelan ayeuna mah gampil.,Milarian padamelan ayena mah sapertos milarian lauk di sagara.,1
"Hoyong seueur acis, tapi teu damel teh mustahil","Hoyong seueur acis, tapi teu damel teh mungkin wae.","Hoyong seueur acis, tapi teu damel tes sapertos ngajarkeun lauk naek tangkal",0
"Hoyong seueur acis, tapi teu damel teh mustahil","Hoyong seueur acis, tapi teu damel teh mungkin wae.","Hoyong seueur acis, tapi teu damel tes sapertos ngajarkeun monyet renang.",1
Abdi sareung anjeuna jauh bedana,Abdi sareung anjeuna eweuh bedana.,Abdi sareung anjeuna kawas langit jeung bumi,0
